"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold","Sample_id"
"1",0.877435327916473,0.877432884588281,2.85883924569233,359114.80531909,0,3,-247746.339265551,495500.678531102,495538.743371362,819960.568828535,100326,100329,0.859,0.0137,2.8587965034052,"Unknown",0.6,1
"2",0.961464529343792,0.961463463974555,1.20612227182875,902470.708121253,0,3,-116209.819287597,232427.638575195,232464.39538168,105238.14527093,72342,72345,0.813,0.0113,1.20609726385081,"Unknown",0.6,2
"3",0.808028524937659,0.80802489251966,2.10251960627294,222449.212909497,0,3,-228534.148589269,457076.297178538,457114.57069491,467251.804447661,105699,105702,0.777,0.0041,2.10248976954528,"Unknown",0.6,3
"4",0.934411873972642,0.934410922206244,1.95549690450257,981765.983561469,0,3,-287999.437579647,576006.875159293,576046.210177511,527034.58541238,137824,137827,0.578,0.0187,1.95547562230591,"Unknown",0.6,4
"5",0.925507997072091,0.925505988768334,1.3941021464317,460840.644338967,0,3,-129913.967113803,259835.934227607,259872.791604453,144178.146632948,74184,74187,0.747,-0.0113,1.39407395855026,"Unknown",0.6,5
"6",0.955880365016232,0.955879778915191,1.75657471507872,1630913.95301927,0,3,-298446.300358726,596900.600717451,596940.289078999,464539.52121358,150553,150556,0.723,0.0194,1.7565572141143,"Unknown",0.6,6
"7",0.954337488116921,0.954336667874025,1.44933810000262,1163481.56515699,0,3,-199305.746337002,398619.492674005,398657.974121303,233876.579955863,111339,111342,0.547,0.0189,1.44931857438071,"Unknown",0.6,7
"8",0.909310428412173,0.909309847407684,2.70833134807091,1565066.09962126,0,3,-754009.951968566,1508027.90393713,1508070.50934209,2289873.29225616,312182,312185,0.654,0.0175,2.70831833493197,"Unknown",0.6,8
"9",0.8823949939547,0.882393928585813,3.32623900618321,828253.016288653,0,3,-578617.099467125,1157242.19893425,1157283.41864041,2442658.19146665,220778,220781,0.572,0.0167,3.32621640742943,"Unknown",0.6,9
"10",0.909705048107292,0.909703942452563,2.82243005270164,822774.980815442,0,3,-401239.389508372,802486.779016744,802526.793275575,1301128.87368712,163333,163336,0.132,-0.0183,2.82240413272981,"Unknown",0.6,10
"11",0.949526828446277,0.949525802610507,1.93083420858414,925612.906323656,0,3,-204379.080647897,408766.161295793,408804.148764668,366861.993401178,98404,98407,0.582,0.0249,1.93080477700522,"Unknown",0.6,11
"12",0.895611256209471,0.89561010819102,2.36789402221478,780136.638916886,0,3,-414814.718444169,829637.436888339,829677.880902086,1019669.246264,181859,181862,0.75,0.0173,2.36787449171538,"Unknown",0.6,12
"13",0.921364308255124,0.921363676977796,2.37457418146424,1459523.83549277,0,3,-568962.21612819,1137932.43225638,1137974.13525717,1404756.32881158,249132,249135,0.862,0.0128,2.37455988450879,"Unknown",0.6,13
"14",0.883117491511894,0.883115819420845,2.46833080543415,528151.557407295,0,3,-324697.554752289,649403.109504577,649442.501577294,851777.814342579,139804,139807,0.53,0.0179,2.46830432238201,"Unknown",0.6,14
"15",0.947345296240094,0.94734419165003,1.65018958781808,857644.231223567,0,3,-183036.88960995,366081.7792199,366119.64008077,259617.355674006,95338,95341,0.717,0.0109,1.65016362518025,"Unknown",0.6,15
"16",0.901207372958972,0.901205031485321,2.01027197474785,384888.966134894,0,3,-178665.495676541,357338.991353083,357376.364075044,341016.106110152,84385,84388,0.543,0.0118,2.01023624176731,"Unknown",0.6,16
"17",0.90309314994933,0.903091887311136,1.60886477133525,715243.016110776,0,3,-290803.027532096,581614.055064192,581653.820939693,397323.849904243,153499,153502,0.77,0.0059,1.60884904965769,"Unknown",0.6,17
"18",0.875212620116631,0.875211526272495,2.8849725530162,800125.530443506,0,3,-565497.416971623,1131002.83394325,1131044.1852581,1899015.85187871,228163,228166,0.764,0.0166,2.88495358668005,"Unknown",0.6,18
"19",0.873503355811114,0.873502325469022,3.64416643860716,847779.938634819,0,3,-665935.503762094,1331879.00752419,1331920.65248251,3260798.52523086,245543,245546,0.718,0.0212,3.64414417692766,"Unknown",0.6,19
"20",0.706228728077635,0.706225241736907,5.65331490722702,202570.197007202,0,3,-531066.969127004,1062141.93825401,1062182.07773023,5386117.76986127,168527,168530,0.589,-0.0238,5.6532645897162,"Unknown",0.6,20
"21",0.924514599954776,0.9245122420676,1.7023964815496,392094.502847172,0,3,-124921.411347908,249850.822695815,249887.091186295,185562.990250969,64028,64031,0.879,0.0163,1.7023566004821,"Unknown",0.6,21
"22",0.776198937304214,0.7761953075288,2.58281994160879,213842.138642655,0,3,-291991.000340416,583990.000680833,584028.890735052,822622.6197241,123314,123317,0.506,-0.0128,2.58278852458214,"Unknown",0.6,22
"23",0.858391671923926,0.858390564505771,3.08482538846312,775128.76932722,0,3,-650988.049456081,1301984.09891216,1302025.90670362,2433707.18773279,255745,255748,0.287,0.0283,3.08480729545105,"Unknown",0.6,23
"24",0.927793840047379,0.927792607481745,1.64414904392126,752733.821786382,0,3,-224509.392699515,449026.785399031,449065.470821217,316720.780276276,117164,117167,0.706,0.022,1.64412799499662,"Unknown",0.6,24
"25",0.908387913736684,0.908386934242551,3.19473735325984,927405.160576644,0,3,-482703.985986127,965415.971972254,965456.528775204,1909199.22423604,187060,187063,0.557,0.0312,3.19471173555221,"Unknown",0.6,25
"26",0.803124782564586,0.803123658821935,2.89816468263253,714687.461627028,0,3,-870034.962021127,1740077.92404225,1740120.99130773,2943068.03322331,350392,350395,0.665,0.0077,2.89815227590204,"Unknown",0.6,26
