"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold"
0.809112492589589,0.809107652458564,4.39035159480747,167167.477180091,0,3,-228620.178144262,457248.356288524,457285.459020481,1520368.93493975,78877,78880,0.719,-0.0255,4.39026810609031,20,0.87
0.933667989458006,0.933663315391801,1.14659872576861,199754.977485639,0,3,-44159.6919423279,88327.3838846558,88360.3984900352,37314.8076104864,28383,28386,0.908,0.0188,1.14653813450766,21,0.87
0.773891401520254,0.773884169979061,2.44646884583583,107016.10913528,0,3,-144683.116998904,289374.233997809,289410.408052451,374279.110486495,62534,62537,0.51,-0.0126,2.44641016461863,22,0.87
0.875917140538437,0.87591392007465,2.89361927310153,271984.781885446,0,3,-191223.737508181,382455.475016361,382492.484478648,645217.51123754,77059,77062,0.338,-0.0278,2.89356294869841,23,0.87
0.940495632177537,0.940493544671211,1.29173720319234,450535.464475606,0,3,-95491.085347342,190990.170694684,191025.974833048,95126.0309703584,57010,57013,0.697,0.0213,1.29170321741201,24,0.87
0.926840044121722,0.926838378916567,2.74106329757542,556592.10601788,0,3,-213288.838561599,426585.677123197,426623.211669154,660197.405047548,87869,87872,0.644,0.031,2.74101650644696,25,0.87
0.856710658149368,0.856709107147129,2.41683843817459,552359.394850416,0,3,-425234.858380156,850477.716760312,850518.224293606,1079261.53185573,184770,184773,0.751,0.008,2.41681881803327,26,0.87
0.696301633083581,0.696289203240053,3.03021400027594,56018.5356736317,0,3,-123518.405143021,247044.810286041,247079.997880152,448697.233103028,48866,48869,0.774,0.013,3.03012098853516,27,0.87
0.912403699050638,0.912401741722616,2.16699463924697,466147.569030543,0,3,-196227.270976773,392462.541953546,392500.150331377,420308.161298597,89506,89509,0.658,0.0131,2.16695832424853,28,0.87
0.9594354095637,0.959434320025669,1.303237222312,880589.187497402,0,3,-125381.912888279,250771.825776557,250808.698114538,126468.290456862,74462,74465,0.571,0.0198,1.30321097003881,29,0.87
0.852413792786077,0.852410394687735,1.85589932602966,250850.242357827,0,3,-176973.327378375,353954.65475675,353992.143290719,299191.087553153,86864,86867,0.637,-0.0073,1.85586727849694,30,0.87
0.820307220319097,0.820301303338634,4.19113440735525,138636.121151384,0,3,-173226.363578711,346460.727157421,346496.78465423,1066899.87565496,60738,60741,0.743,-0.0257,4.19103090594371,31,0.87
0.930157493834512,0.930151253439036,1.06961290308618,149054.254243528,0,3,-33270.8505323222,66549.7010646445,66581.7660074934,25608.9023306461,22384,22387,0.917,0.0195,1.06954123322828,32,0.87
0.766338533031688,0.766329142437215,2.4158838962853,81607.0308706352,0,3,-114514.854880868,229037.709761737,229072.970271681,290453.173691454,49765,49768,0.502,-0.0124,2.41581108081237,33,0.87
0.876072475922944,0.876067225980173,2.90075295582283,166872.766840242,0,3,-117273.773644363,234555.547288726,234590.597071677,397250.71399056,47211,47214,0.354,-0.0274,2.9006607967481,34,0.87
0.942203088016613,0.942200555119535,1.23227981982521,371986.329824802,0,3,-74291.4972854328,148590.994570866,148625.908730081,69300.4030798006,45637,45640,0.694,0.0212,1.23223931916558,35,0.87
0.932750239098308,0.932748188237984,2.59818432051891,454809.24660809,0,3,-155680.98527356,311369.970547119,311406.33495628,442715.341566665,65582,65585,0.65,0.0309,2.59812489654927,36,0.87
0.861725907895328,0.861724001310765,2.35869229395378,451973.610210694,0,3,-330288.559830921,660585.119661843,660624.659052154,806969.8619833,145049,145052,0.761,0.0081,2.35866790230986,37,0.87
0.697590667645501,0.697575015798684,2.85099076061172,44569.2240535056,0,3,-95320.4541231121,190648.908246224,190683.156936942,314087.907269122,38642,38645,0.785,0.0126,2.85088009767629,38,0.87
0.914388897104018,0.914386494153969,2.1353421213606,380527.634028442,0,3,-155167.456042887,310342.912085773,310379.608335263,324900.424166922,71255,71258,0.677,0.0131,2.13529717136348,39,0.87
0.961005312456314,0.961004006867043,1.24588648209569,736070.166933198,0,3,-97896.2886847622,195800.577369524,195836.568263976,92722.6457976647,59735,59738,0.611,0.0197,1.24585519793508,40,0.87
0.856478139817424,0.85647398824715,1.78801811002942,206302.214135829,0,3,-138289.704000609,276587.408001218,276623.98378748,221044.382799141,69141,69144,0.643,-0.0073,1.78797932060073,41,0.87
0.820816585471654,0.82080943600873,4.14225812943061,114808.146320534,0,3,-142371.023657435,284750.047314869,284785.336654922,860059.908343054,50125,50128,0.753,-0.0258,4.14213417714527,42,0.87
0.926968692524345,0.926960925715084,1.03548750891378,119350.000939144,0,3,-27343.2285742671,54694.4571485341,54725.8255115648,20164.4397712761,18806,18809,0.92,0.0199,1.03540492646906,43,0.87
0.762125902608656,0.762114633227502,2.39191781754815,67628.0172102878,0,3,-96723.6648778224,193455.329755645,193489.932258187,241529.170030696,42216,42219,0.502,-0.0123,2.39183283352519,20,0.9
0.884296588883096,0.884289699724946,2.83196884626532,128360.616743491,0,3,-82634.2803590597,165276.560718119,165310.249010083,269393.397077439,33590,33593,0.397,-0.0274,2.83184238991686,21,0.9
0.942875664440614,0.942872720949319,1.20879455489107,320325.616755332,0,3,-62438.0573305695,124884.114661139,124918.381115435,56714.4064861141,38814,38817,0.693,0.0212,1.20874784270654,22,0.9
0.936864887074648,0.936862508477167,2.51223767899543,393872.815702795,0,3,-124232.726883517,248473.453767034,248508.972667152,335043.697336906,53086,53089,0.648,0.0308,2.51216669612221,23,0.9
