"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE"
0.650236580238239,0.650214477586038,4.29497759373605,29418.9391531818,0,3,-91041.8338911916,182091.667782383,182125.11800885,583823.802763957,31649,31652,0.532,-0.0133,4.29477404833439
0.54811645244531,0.548067390662828,3.88050108918184,11171.9636896861,0,3,-51123.309529302,102254.619058604,102285.90469637,277388.736200569,18421,18424,0.313,-0.0109,3.88018514320904
0.817420890055471,0.817402168793236,2.40469282816866,43662.7017882165,0,3,-44795.9045456879,89599.8090913759,89631.3234110432,112788.590895982,19505,19508,0.664,-0.0144,2.4045079205447
0.670045518613134,0.669998772919093,3.47652631010426,14333.8446965523,0,3,-37627.9064817046,75263.8129634093,75294.0343534535,170621.382104487,14117,14120,0.646,-0.0126,3.47615697111813
0.265212808683989,0.265062943868301,4.62398119212754,1769.68027797093,0,3,-28936.9585737222,57881.9171474444,57910.6813698867,209664.067450853,9806,9809,0.198,0.0082,4.62327403521079
0.362853298071675,0.36274914658791,4.44176708159682,3483.89946025833,0,3,-35610.9674935727,71229.9349871454,71259.5841917215,241387.921965568,12235,12238,0.332,-0.0091,4.44122262506881
0.186275178394205,0.186093725652181,4.36970980850331,1026.57681728369,0,3,-25960.1941779652,51928.3883559304,51956.795811513,171257.349016644,8969,8972,0.319,-0.0086,4.36897918960867
0.00314495313006345,0.00299959660529381,6.75979372744457,21.636133190776,4.15277079934456e-10,3,-45681.8219779453,91371.6439558905,91401.7501039398,626750.030934907,13716,13719,0.166,-0.0011,6.75905458866072
0.0578554219278968,0.0576435373944273,5.90779572588014,273.051652145373,8.19785255501094e-116,3,-28423.0996624295,56854.199324859,56882.572752925,310383.933662305,8893,8896,0.039,-0.0036,5.90679949826969
0.663338019440683,0.663308696038492,4.20990189150002,22621.4548745479,0,3,-65595.2178460748,131198.43569215,131230.602598537,406961.816119706,22962,22965,0.544,-0.0134,4.20962690525645
0.542554518466211,0.542473331940071,3.92901437592903,6682.81480024206,0,3,-31417.2512401779,62842.5024803558,62871.8227885701,173961.28804575,11269,11272,0.334,-0.0112,3.92849149500721
0.829146273112602,0.829118932141745,2.34062756362342,30326.145967512,0,3,-28367.7393801086,56743.4787602172,56773.2130158976,68470.7603201384,12498,12501,0.679,-0.0146,2.34034669393217
0.724110317621378,0.724051661369145,3.13918783301298,12344.980970539,0,3,-24115.4136762819,48238.8273525639,48267.4254654942,92701.2838605618,9407,9410,0.713,-0.0132,3.13868739123713
0.705509057499574,0.705460324925935,2.24351791219104,14477.1557259822,0,3,-26920.50532366,53849.01064732,53878.6108522288,60833.3415133842,12086,12089,0.347,-0.0115,2.24323951979501
0.736180060918781,0.736147793313708,2.95785298594048,22814.8342351749,0,3,-40941.6427741432,81891.2855482863,81922.0947040462,143061.919371818,16352,16355,0.733,-0.0142,2.95758169380001
0.528190611798932,0.528111819315932,3.23905199534953,6703.56602167511,0,3,-31074.6519223945,62157.3038447889,62186.8674863719,125645.698955047,11976,11979,0.092,-0.0096,3.23864637866829
0.0369328094827996,0.0369074509280963,7.22526324248005,1456.42407128884,0,3,-257994.929872959,515997.859745919,516034.811541919,3965239.60328551,75956,75959,0.04,-0.0052,7.22512056021887
0.644439388993276,0.644428574941632,5.12568183094362,59592.7789369326,0,3,-200783.175779706,401574.351559412,401610.726749183,1727660.8392864,65759,65762,0.238,-0.0218,5.12556491524102
0.471389057303383,0.471379230907943,6.24150151411359,47971.7166055514,0,3,-349692.891039714,699393.782079427,699432.126522903,4191312.7444019,107590,107593,0.112,-0.0211,6.24141449806669
0.417652568441109,0.417646005005007,7.40091573608472,63633.2192421775,0,3,-606990.829198374,1213989.65839675,1214030.00428609,9719676.65696202,177452,177455,0.01,-0.0186,7.40085317701045
