"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE"
0.894599323150645,0.894596534699182,2.58092952598533,320822.985454843,0,3,-178952.73109573,357913.462191459,357950.395090618,503573.187294142,75598,693,0.495,0.0136,2.5808783172355
0.957716827750248,0.957715313987705,1.07965127923023,632673.091156043,0,3,-83553.375269771,167114.750539542,167150.47352772,65118.863216194,55865,693,0.495,0.0111,1.07962229128257
0.811789362433388,0.81178491994088,2.0068554881267,182732.860233156,0,3,-179256.036163174,358520.072326348,358557.461462422,341255.499090402,84732,693,0.495,0.004,2.00681996195833
0.938872134497397,0.938871034669843,1.82231270602599,853653.949311804,0,3,-224439.57417939,448887.148358779,448925.623334282,369139.430390525,111159,693,0.495,0.0186,1.82228811590075
0.921077420999136,0.921074761165657,1.28850056178675,346291.38558165,0,3,-99251.4744096467,198510.948819293,198546.913446698,98524.9085577787,59344,693,0.495,-0.011,1.28846799442414
0.96406961494199,0.964069044392009,1.57139052466067,1689719.82635173,0,3,-235643.897787674,471295.795575347,471334.770231749,311004.32739611,125950,693,0.495,0.0195,1.57137181053855
0.957967093740085,0.957966157511774,1.3015297456512,1023219.53125498,0,3,-151076.686810676,302161.373621352,302198.994759646,152105.823320145,89792,693,0.495,0.0188,1.30150800378445
0.915964138748389,0.915963495891488,2.57926649033074,1424833.64059342,0,3,-618700.442570378,1237408.88514076,1237450.78110352,1739293.09289986,261445,693,0.495,0.0176,2.579251692318
0.891786767095992,0.891785553521399,3.1468561995408,734842.977159009,0,3,-457504.238894529,915016.477789058,915056.843599966,1766028.41535665,178338,693,0.495,0.017,3.14682973168344
0.914064915981908,0.914063639389656,2.73759662068686,716019.47664686,0,3,-326625.557674999,653259.115349997,653298.356640766,1008990.80760068,134632,693,0.495,-0.0183,2.73756612031321
0.952261492062651,0.952260296118368,1.83122609020178,796242.354883617,0,3,-161582.541944355,323173.083888709,323210.23485805,267714.456901947,79834,693,0.495,0.0249,1.83119168428799
0.901244346779835,0.901243024900086,2.23867112235447,681789.964279767,0,3,-332431.249932115,664870.49986423,664910.157929876,748825.468095831,149417,693,0.495,0.0173,2.23864864863248
0.933063088168054,0.933062435557963,2.17440591256752,1429740.51547962,0,3,-450420.97489884,900849.949797679,900890.875569988,969891.433470633,205136,693,0.495,0.013,2.17439001300286
0.891614931212781,0.891612971496133,2.26598526000481,454971.351173183,0,3,-247440.761068355,494889.522136711,494927.977416803,567963.376320212,110613,693,0.495,0.0173,2.26595453207272
0.948876493761699,0.94887507030336,1.53119485194757,666599.413479194,0,3,-132529.444876727,265066.889753454,265103.618150492,168409.577768726,71830,693,0.495,0.0109,1.53116287755893
0.911172457935441,0.91116975287135,1.87029114141537,336839.508242937,0,3,-134312.153863081,268632.307726162,268668.677803334,229730.424531412,65675,693,0.495,0.0119,1.87024842591324
0.911346348805754,0.911344948716505,1.51525246163216,650920.182406716,0,3,-232327.692280446,464663.384560891,464702.381070425,290764.176447161,126640,693,0.495,-0.0059,1.51523451439344
0.880135306573264,0.880134037351239,2.80273650273718,693444.715944902,0,3,-462671.531236131,925351.062472262,925391.657983304,1483707.2346532,188879,693,0.495,0.0167,2.80271424481187
0.875671527125666,0.875670305176176,3.57156971338241,716618.431314465,0,3,-547795.588914997,1095599.17782999,1095640.07141685,2595766.38038979,203492,693,0.495,0.0211,3.57154338657185
0.733313109769467,0.733309208385699,5.35256061486987,187962.311162652,0,3,-423344.549727092,846697.099454184,846736.402127684,3916843.13074344,136714,693,0.495,-0.0243,5.35250188855956
0.931368472733595,0.931365754599483,1.52717737552781,342649.933477412,0,3,-93041.3501397777,186090.700279555,186126.019352429,117777.339913627,50499,693,0.495,0.0169,1.52713201494637
0.779432240708177,0.77942793093436,2.54088742189659,180852.238147401,0,3,-240693.119728944,481394.239457887,481432.384463049,660827.937730732,102357,693,0.495,-0.0128,2.54085018704841
0.869380107678737,0.869378794817041,2.94587026769541,662202.355445876,0,3,-497337.727763858,994683.455527715,994724.259526917,1726822.00290976,198985,693,0.495,-0.0283,2.94584806122037
0.932713064705661,0.932711649136951,1.51706717509864,658896.35584156,0,3,-174520.16404489,349048.32808978,349086.177564745,218796.01732589,95067,693,0.495,0.0218,1.51704323885466
0.910734916599836,0.910733758719037,3.10065660826935,786553.259331412,0,3,-393268.179380897,786544.358761794,786584.142525343,1482364.82732253,154187,693,0.495,0.0311,3.10062644413721
0.824404848152663,0.824403658274013,2.71677584670137,692847.836522578,0,3,-713787.062216454,1427582.12443291,1427624.50540238,2178449.31426806,295148,693,0.495,0.0078,2.71676203961915
