"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold"
"281",0.259203658526756,0.259075614910565,4.64814227276098,2024.33878577775,0,3,-34204.3707215886,68416.7414431773,68446.1675091058,249994.076847753,11571,11574,0.198,0.0082,4.64753983062602,"YouToo_AT_01",0.56
"282",0.37449685430233,0.374412730417494,4.53613130078672,4451.73038587861,0,3,-43594.3878888554,87196.7757777107,87227.2052577158,305992.940823696,14871,14874,0.345,-0.0092,4.5356738219594,"YouToo_AT_02",0.56
"283",0.165317205580651,0.165160883304329,4.63642630357733,1057.54093063814,0,3,-31541.1896875742,63090.3793751485,63119.4846365921,229560.577466751,10679,10682,0.283,-0.0083,4.63577519631089,"YouToo_AT_03",0.56
"284",0.00244492411790352,0.00232027647628386,6.7637213308357,19.6146841298761,3.10365199112369e-09,3,-53316.6626976561,106641.325395312,106672.049020685,732241.307416677,16006,16009,0.152,-0.001,6.76308755874828,"YouToo_AT_04",0.56
"285",0.0457277545147753,0.0455530913418118,5.93960546966711,261.805357929529,8.70104881408128e-112,3,-34980.8528033276,69969.7056066552,69998.9026729798,385492.683829417,10927,10930,0.037,-0.0032,5.93879028031317,"YouToo_AT_05",0.56
"286",0.660700747100301,0.660675309513399,4.23643264118967,25973.4050101269,0,3,-76374.2711194777,152756.542238955,152789.308916955,478781.763358068,26677,26680,0.541,-0.0134,4.23619445424787,"YouToo_AT_06",0.56
"287",0.547121299746925,0.547057469063309,3.90710985357108,8571.44665786934,0,3,-39479.6855033589,78967.3710067179,78997.6130233751,216617.550117707,14190,14193,0.325,-0.0111,3.90669690532138,"YouToo_AT_112",0.56
"288",0.826144152179359,0.826121661125308,2.35316050415706,36732.1224819236,0,3,-35172.1527582717,70352.3055165433,70382.8903379532,85607.6529797002,15460,15463,0.674,-0.0145,2.3529322229713,"YouToo_AT_152",0.56
"289",0.704889201275455,0.704837167281146,3.26524576921068,13546.7055841804,0,3,-29523.8956925877,59055.7913851754,59085.1378673269,120937.136933969,11343,11346,0.686,-0.013,3.26481405825894,"YouToo_AT_172",0.56
"290",0.80070232140798,0.800643687198333,1.74272447738849,13655.8900720417,0,3,-13426.3139088114,26860.6278176227,26887.9271173794,20646.1283305969,6798,6801,0.432,-0.0128,1.74234006699947,"YouToo_AT_19",0.56
"291",0.813405698751083,0.813370498920626,2.26559216600441,23108.2277444661,0,3,-23719.4954803863,47446.9909607726,47476.0672842406,54419.089159927,10602,10605,0.784,0.014,2.26527169182981,"YouToo_AT_21",0.56
"292",0.589097630218349,0.58894931678403,3.07068231213911,3971.97754149535,0,3,-14084.9072490744,28177.8144981489,28204.2963843124,52246.5869258075,5541,5544,0.131,-0.0101,3.06985138740136,"YouToo_AT_24",0.56
"293",0.0484273056595087,0.0483710794308193,7.34281611426953,861.293862104309,0,3,-115520.486396638,231048.972793275,231082.691688555,1824980.87242102,33848,33851,0.056,-0.0061,7.34249073338824,"YouToo_AT_317",0.56
"294",0.70557267537968,0.705552759437946,4.82471835633781,35427.5326175198,0,3,-88492.3696757024,176992.739351405,177025.917413856,688257.882714103,29567,29570,0.276,-0.0229,4.824473606216,"YouToo_AT_318",0.56
"295",0.550561474590249,0.550543722150173,5.73375315177025,31013.2844964583,0,3,-160280.24418396,320568.48836792,320603.818119173,1664639.59685201,50634,50637,0.121,-0.0221,5.73358330053266,"YouToo_AT_319",0.56
"296",0.424632260935872,0.424618107966532,7.27346120833918,30003.0510018436,0,3,-276710.318219175,553428.636438349,553465.860535506,4301403.56793681,81307,81310,0.012,-0.0183,7.27332702690455,"YouToo_AT_320",0.56
"297",0.732637765876185,0.732614293488307,2.54020798495691,31212.7496224769,0,3,-53567.8874290322,107143.774858064,107175.910113321,146997.970160395,22781,22784,0.421,0.0174,2.5400407431463,"YouToo_AT_321",0.56
"298",0.84553157762327,0.845505657928266,2.44831406509805,32621.2008856834,0,3,-27590.0396431775,55188.079286355,55217.6238492021,71445.3675536133,11919,11922,0.653,-0.0133,2.44800600418898,"YouToo_AT_323",0.56
"299",0.137024488716399,0.136984080619974,6.03803479806831,3391.01568353783,0,3,-137416.603572049,274841.207144097,274875.856459443,1557224.75454349,42713,42716,0.173,-0.0121,6.03782276484364,"YouToo_AT_324",0.56
"300",7.75379233505469e-05,3.6691417546586e-05,7.41484060861956,1.89827555196564,0.149837792117121,3,-167570.548964831,335149.097929662,335184.293210421,2691814.0068604,48960,48963,0.012,3e-04,7.41461344869706,"YouToo_AT_325",0.56
"301",0.354091978294899,0.354058655725615,6.911722481565,10626.1907742846,0,3,-129961.64286971,259931.285739419,259965.547347542,1851973.54433939,38767,38770,0.007,-0.0199,6.91145506386344,"YouToo_AT_326",0.56
"302",0.704576423575201,0.704563908278594,6.0372211755994,56297.2213652225,0,3,-151877.167240958,303762.334481917,303797.384180146,1720711.94588582,47210,47213,0.002,-0.0394,6.03702936453837,"YouToo_AT_327",0.56
"303",0.488835209576765,0.488814444026293,5.69704144817957,23540.6814874288,0,3,-155526.22898033,311060.45796066,311095.675400787,1597887.63910437,49232,49235,0.247,0.021,5.69686787871981,"YouToo_AT_328",0.56
"304",0.603731979716682,0.603726787423591,8.41792962740222,116274.634175791,0,3,-541764.024997993,1083536.04999599,1083575.79334593,10816092.7606862,152637,152640,0.031,-0.0308,8.41784690363071,"YouToo_AT_329",0.56
"305",0.743387056817641,0.743371794048166,3.90162256649678,48705.9087171336,0,3,-93498.252561658,187004.505123316,187038.197699592,511877.119811872,33626,33629,0.32,0.0202,3.90144853324043,"YouToo_AT_330",0.56
"306",0.267378069680046,0.267359534958708,7.77814120071999,14425.7938820198,0,3,-274346.52244714,548701.04489428,548738.156591841,4782725.93447776,79054,79057,0.108,-0.0155,7.77799361957616,"YouToo_AT_331",0.56
"307",0.432194422863721,0.432175062335314,6.36252265857248,22323.4827978891,0,3,-191776.092120488,383560.184240977,383596.102226157,2374494.27733423,58656,58659,0.052,-0.0199,6.36235995709418,"YouToo_AT_332",0.56
"308",0.750179295021493,0.750165361131986,5.45943326578081,53838.4702004484,0,3,-111751.543251493,223511.086502985,223545.036125517,1068762.44856165,35858,35861,0.739,0.0146,5.45920490290263,"YouToo_AT_333",0.56
