"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","Sample_id","threshold"
"1",0.304985521291472,0.30451828466713,4.72229734889055,652.743182795364,9.2438920850913e-236,3,-8846.83391980018,17701.6678396004,17725.6638684533,66342.7744477327,2975,2978,0.207,-0.0087,4.71991815786764,"YouToo_AT_01",1,0.81
"2",0.171678074825986,0.171060154702768,4.19558594656291,277.832147514251,2.21804312248161e-110,3,-7655.87477641686,15319.7495528337,15343.3298068261,47193.4859872248,2681,2684,0.144,-0.0079,4.19324051493647,"YouToo_AT_02",2,0.81
"3",0.377283591042126,0.376746303372619,2.721296807094,702.200352724934,3.8235700831789e-239,3,-5615.42827274649,11238.856545493,11261.8555591181,17165.8477319114,2318,2321,0.564,-0.0101,2.71953753734407,"YouToo_AT_03",3,0.81
"4",0.00205689316947066,0.00155186123281559,6.79081702578994,4.07279821370042,0.0171011992995235,3,-13186.485671384,26380.9713427681,26406.1022862889,182247.254108902,3952,3955,0.231,-9e-04,6.7882410060883,"YouToo_AT_04",4,0.81
"5",0.102739128292106,0.101704225325892,6.08488808598744,99.2741654494601,1.51543811714335e-41,3,-5599.88401234716,11207.7680246943,11229.6076837593,64202.8464749319,1734,1737,0.121,0.0052,6.07963116225363,"YouToo_AT_05",5,0.81
"6",0.677910228606763,0.677796916462033,3.88010195082925,5982.67935203105,0,3,-15781.5617908864,31571.1235817728,31597.7080376587,85588.7616810928,5685,5688,0.579,-0.0129,3.87907858223679,"YouToo_AT_06",6,0.81
"7",0.697660109998491,0.697247359295417,3.04162802991717,1690.26994939815,0,3,-3714.49302123248,7436.98604246496,7458.15266730166,13553.4490710335,1465,1468,0.537,0.0144,3.03851850990519,"YouToo_AT_112",7,0.81
"8",0.797857370878144,0.797582720566837,2.38355574754498,2904.99350640346,0,3,-3372.60805087126,6753.21610174252,6774.40175481761,8362.92953843576,1472,1475,0.662,-0.0135,2.38113055877298,"YouToo_AT_152",8,0.81
"9",0.722752265982655,0.722433590426313,3.19897696080206,2267.98777502568,0,3,-4498.5231067498,9005.04621349959,9026.89966568167,17806.2092565918,1740,1743,0.764,-0.0143,3.19622278296834,"YouToo_AT_172",9,0.81
"10",0.818158842694442,0.817880798111406,1.58504084214399,2942.5455218757,0,3,-2462.58663747037,4933.17327494074,4953.88745687579,3286.15964841402,1308,1311,0.487,-0.0131,1.58322625558213,"YouToo_AT_19",10,0.81
"11",0.93229906231248,0.932253868095066,1.21770524673246,20628.7245501704,0,3,-4844.60336892254,9697.20673784508,9721.23087456007,4442.48697948759,2996,2999,0.797,-0.0136,1.21709603869963,"YouToo_AT_21",11,0.81
"12",0.521858721941848,0.519994623391914,3.65867791907779,279.952324387698,6.39992764826619e-83,3,-1399.97246434938,2807.94492869876,2824.92935576069,6866.97907127582,513,516,0.141,-0.0102,3.64802672349597,"YouToo_AT_24",12,0.81
"13",0.0876658132159521,0.0868264993366659,8.32918994542362,104.449378688356,4.8679097082577e-44,3,-7702.25918277172,15412.5183655434,15435.2611777884,150822.13078946,2174,2177,0.107,-0.0099,8.32344897522142,"YouToo_AT_317",13,0.81
"14",0.74770405292793,0.747467931311578,4.7491729557258,3166.60568600128,0,3,-6369.08425364048,12746.168507281,12768.842751713,48199.2737223802,2137,2140,0.309,0.023,4.74584292870255,"YouToo_AT_318",14,0.81
"15",0.642733990448814,0.642558515984398,5.17709991867506,3662.83488932439,0,3,-12480.9725011816,24969.9450023633,24995.195506466,109139.224448673,4072,4075,0.15,-0.0224,5.17519388685541,"YouToo_AT_319",15,0.81
"16",0.242853603756572,0.242614303378493,8.49804798219679,1014.84839140508,0,3,-22529.1043035476,45066.2086070952,45093.2214610174,456988.033844846,6328,6331,0.027,-0.0133,8.49603430625157,"YouToo_AT_320",16,0.81
"17",0.549723253455077,0.548573121279994,3.19841802862549,477.965285525112,2.17386147270221e-136,3,-2027.63068590698,4063.26137181396,4081.92919898368,8009.99438461001,783,786,0.286,0.0143,3.19230834199869,"YouToo_AT_321",17,0.81
"18",0.904962508633639,0.904773002170296,1.99848499895211,4775.3648750077,0,3,-2122.49365271237,4252.98730542473,4272.64225482737,4005.92411790971,1003,1006,0.729,-0.0131,1.99550292566852,"YouToo_AT_323",18,0.81
"19",0.0717013092898569,0.0712070075376151,7.31232808759323,145.055745735611,2.07764722141929e-61,3,-12811.0517886078,25630.1035772156,25655.0312101898,200833.853579632,3756,3759,0.124,-0.0106,7.30940957696507,"YouToo_AT_324",19,0.81
"20",0.0366145711952158,0.0358907654635819,8.00232551727352,50.5861857608679,2.74092782653306e-22,3,-9322.45663002207,18652.9132600441,18676.4650973905,170467.062827891,2662,2665,0.034,0.0072,7.99782012580222,"YouToo_AT_325",20,0.81
"21",0.549757321568715,0.549411380209951,5.75761956067366,1589.16332968396,0,3,-8258.11880647346,16524.2376129469,16547.6998999777,86289.9263631914,2603,2606,0.063,-0.0249,5.75430455057599,"YouToo_AT_326",21,0.81
"22",0.618895267913835,0.618710355380072,6.97928897275005,3346.96223840648,0,3,-13866.2774652717,27740.5549305435,27765.8542157386,200784.57615755,4122,4125,0.008,-0.0387,6.97675058787877,"YouToo_AT_327",22,0.81
"23",0.470822166261014,0.470607967583119,5.03370496202525,2198.06289603876,0,3,-15004.0083305807,30016.0166611613,30042.0403811579,125195.97527055,4941,4944,0.292,-0.0181,5.03217751396641,"YouToo_AT_328",23,0.81
"24",0.443689994425218,0.443614521625656,9.39521460145325,5878.80662964034,0,3,-53952.504518887,107913.009037774,107943.403675059,1301277.18629931,14742,14745,0.025,-0.0227,9.39425878329101,"YouToo_AT_329",24,0.81
"25",0.774017914176198,0.773610004273989,3.9262385340878,1897.52175660487,0,3,-3094.43321860121,6196.86643720243,6216.91850036099,17080.206721424,1108,1111,0.392,0.0193,3.92093399863142,"YouToo_AT_330",25,0.81
"26",0.179291771295833,0.178889463340586,8.0687941183439,445.658031260388,8.81306912214828e-176,3,-14317.3459889492,28642.6919778984,28667.9503270637,265630.189178822,4080,4083,0.077,0.0125,8.06582928483637,"YouToo_AT_331",26,0.81
"27",0.386040884468026,0.385694992008571,6.27497422351066,1116.0719868733,0,3,-11565.3189720518,23138.6379441035,23163.3401344876,139782.320345317,3550,3553,0.076,0.0166,6.27232450523212,"YouToo_AT_332",27,0.81
"28",0.714284071687559,0.713974184563576,6.61616947028099,2304.98144778179,0,3,-6109.21536092941,12226.4307218588,12248.5159937796,80718.6999592778,1844,1847,0.694,0.0169,6.61079411166552,"YouToo_AT_333",28,0.81
"29",0.231085672679319,0.229819970082906,5.60327216050295,182.575016701617,4.68658620655168e-70,3,-3825.80648622595,7659.6129724519,7680.03283424498,38146.9405691708,1215,1218,0.149,0.006,5.59636732465698,"YouToo_AT_334",29,0.81
"30",0.0826711749615611,0.0820874467878172,8.88670334058966,141.626151829088,1.28262912792731e-59,3,-11335.0935669056,22678.1871338112,22702.4026821456,248213.698756644,3143,3146,0.042,0.0056,8.88246518598541,"YouToo_AT_335",30,0.81
