"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold","Sample_id"
"20",0.00923894523433272,0.00922133859062424,7.29438527408168,524.741988722331,1.45696932979713e-227,3,-383338.471571134,766684.943142268,766723.467647032,5988247.5137454,112544,112547,0.007,0.003,7.29428805557897,"YouToo_AT_325",0.4,20
"21",0.296641052162891,0.296624606823389,7.03424393958196,18038.0011081042,0,3,-288251.836425687,576511.672851374,576549.099902424,4232519.9999564,85539,85542,0.008,-0.0181,7.03412059130367,"YouToo_AT_326",0.4,21
"22",0.692886796716682,0.692880356799651,6.09111804548227,107592.503661065,0,3,-307675.6860094,615359.372018801,615397.234557505,3538687.7589786,95378,95381,0.002,0.0387,6.09102225335477,"YouToo_AT_327",0.4,22
"23",0.477845307374061,0.477834732517496,5.82751231974563,45186.9303779516,0,3,-314196.733674458,628401.467348915,628439.469019181,3353675.94848207,98754,98757,0.24,0.0212,5.82742380617327,"YouToo_AT_328",0.4,23
"24",0.586571803258707,0.586569066003411,8.48963012156892,214291.960328303,0,3,-1074726.76493879,2149461.52987757,2149504.00363974,21771699.0559873,302075,302078,0.028,-0.031,8.48958796531524,"YouToo_AT_329",0.4,24
"25",0.699709785437113,0.699702539576182,4.0997566109656,96566.8251297528,0,3,-234563.274614917,469134.549229834,469171.850260403,1393148.24185327,82886,82889,0.292,0.0196,4.09968241908777,"YouToo_AT_330",0.4,25
"26",0.258227120977796,0.258218796459195,7.93877239658099,31020.0665455709,0,3,-622100.080475265,1244208.16095053,1244248.52397928,11231778.2342528,178214,178217,0.11,-0.0154,7.93870557799068,"YouToo_AT_331",0.4,26
"27",0.362980773763392,0.362971076925406,6.7562186603496,37432.9007337817,0,3,-437448.61522749,874905.23045498,874944.374156095,5997355.4586827,131387,131390,0.05,-0.0188,6.75614152825553,"YouToo_AT_332",0.4,27
"28",0.74055294087677,0.740546520588501,5.55497862164371,115345.746135772,0,3,-253271.262276978,506550.524553957,506587.724670877,2493957.24248025,80821,80824,0.731,0.0144,5.55487552670589,"YouToo_AT_333",0.4,28
"29",0.203995772721526,0.203951571137425,5.97188464780976,4615.12357241592,0,3,-115478.659458351,230965.318916703,230999.286235178,1284488.90278905,36017,36020,0.149,0.006,5.97163595226569,"YouToo_AT_334",0.4,29
"30",0.286782538751927,0.286771901653325,6.43753845667136,26960.5979495621,0,3,-440001.811300669,880011.622601338,880050.848055099,5557358.97520856,134100,134103,0.193,0.0101,6.43746644961939,"YouToo_AT_335",0.4,30
"31",0.327307819390009,0.3273026193546,8.28061996364841,62943.3828134511,0,3,-914050.896685675,1828109.79337135,1828151.64751719,17740496.9336813,258726,258729,0.218,-0.0115,8.28057195601899,"YouToo_AT_336",0.4,31
"32",0.0948534359210852,0.0948307001144947,6.99985687991106,4171.98464208394,0,3,-267926.313117275,535860.62623455,535897.766618357,3901367.46251917,79623,79626,0.119,0.0061,6.99972501488934,"YouToo_AT_337",0.4,32
"33",0.0810929358975326,0.0810736707907335,7.14537934157085,4209.31670627487,0,3,-322962.697677613,645933.395355225,645971.258648726,4870580.71641025,95396,95399,0.099,-0.0045,7.14526699077812,"YouToo_AT_338",0.4,33
"34",0.00964400008222925,0.00963011720319928,7.45308073779144,694.668595861558,5.87102653733061e-301,3,-489029.906881408,978067.813762815,978107.287089232,7925258.65433513,142673,142676,0.041,-0.0014,7.4530023806755,"YouToo_AT_339",0.4,34
"35",0.274321899041019,0.274314108950406,6.8812584389363,35214.2115760381,0,3,-623719.302230207,1247446.60446041,1247487.14515081,8822003.82189102,186308,186311,0.115,0.0116,6.88120303732711,"YouToo_AT_340",0.4,35
"36",0.248865708934097,0.248787559395413,4.74705024723973,3184.48084433175,0,3,-57223.957483033,114455.914966066,114487.371041301,433180.425335666,19223,19226,0.201,0.0082,4.7466798710219,"YouToo_AT_01",0.42,1
"37",0.336020865507119,0.335968669993048,5.04991124978447,6437.7345733624,0,3,-77308.2775574088,154624.555114818,154657.132212974,648811.799572263,25442,25445,0.336,-0.0088,5.0496135453176,"YouToo_AT_02",0.42,2
"38",0.10121820636174,0.101119117910868,5.5897827449312,1021.49347850907,0,3,-56968.4636294514,113944.927258903,113976.151639729,566827.720069661,18141,18144,0.169,-0.0071,5.58932060754503,"YouToo_AT_03",0.42,3
"39",4.28079023273735e-05,-3.32460368344112e-05,6.99054281862385,0.562862394758726,0.569583237930687,3,-88455.1007557233,176918.201511447,176950.910656225,1285024.74728846,26296,26299,0.091,1e-04,6.99014409193152,"YouToo_AT_04",0.42,4
"40",0.00794372018312181,0.0078442559481291,6.42788334284797,79.8650910420949,2.83897616819231e-35,3,-65429.476932093,130866.953864186,130898.558002371,824205.165803247,19948,19951,0.037,-0.0014,6.42740004940414,"YouToo_AT_05",0.42,5
