"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","sample"
0.588087626779697,0.586893677871812,4.22522413204788,492.55677767777,1.28135363572225e-133,3,-1980.48425708332,3968.96851416665,3987.13263416341,12318.2380865674,690,693,0.495,-0.0151,4.21606870605213,"Sample/YouToo/AT_01"
0.190917429098005,0.187231403718042,3.41894605900664,51.7949306957551,6.37425818359978e-21,3,-1169.03060952201,2346.06121904401,2362.42645857232,5131.55535578029,439,442,0.164,-0.0144,3.4073235458508,"Sample/YouToo/AT_02"
0.430561845790045,0.428400790176345,1.94170281938382,199.236818830805,3.63219647002754e-65,3,-1102.222786146,2212.44557229199,2229.53708031818,1986.90058504922,527,530,0.742,-0.0121,1.93619963547015,"Sample/YouToo/AT_03"
0.0157962526011742,0.012880093349622,7.06230795298893,5.41680040030974,0.00463652200243823,3,-2285.87234775142,4579.74469550285,4597.82128465461,33666.4306954242,675,678,0.175,0.0026,7.04666605570505,"Sample/YouToo/AT_04"
0.019654950815473,0.0105354619858496,7.52709584315055,2.15526891722554,0.118369059158633,3,-747.85320851013,1503.70641702026,1517.24439727142,12181.2919438745,215,218,0.026,0.0024,7.47512447930304,"Sample/YouToo/AT_05"
0.713761258672959,0.713039345075665,3.48139955773599,988.70732086011,3.91575902251532e-216,3,-2120.93000889689,4249.86001779379,4268.57841453716,9611.27330431926,793,796,0.593,-0.0121,3.47483293845184,"Sample/YouToo/AT_06"
0.92863800714423,0.927878837007467,0.965094998853925,1223.22778804656,1.68226785742468e-108,3,-262.719365940568,533.438731881135,546.447825593322,175.104771080817,188,191,0.513,0.0145,0.957485721137547,"Sample/YouToo/AT_112"
0.817231889796243,0.814080715482385,1.54053051935056,259.342012976658,1.54961722928369e-43,3,-218.757549154206,445.515098308413,456.631592280859,275.295176601859,116,119,0.657,0.0116,1.52098811481016,"Sample/YouToo/AT_152"
0.794417440908628,0.79233030832902,2.48202210403902,380.62624706759,2.1337689132275e-68,3,-464.091061355865,936.182122711729,949.375392177921,1213.60544381284,197,200,0.813,-0.0165,2.4633366028751,"Sample/YouToo/AT_172"
0.916921130569,0.915971657775503,0.924469195806793,965.716065640761,2.85381333253598e-95,3,-237.078946971499,482.157893942997,494.885028144165,149.56257644924,175,178,0.813,-0.0117,0.916645620474487,"Sample/YouToo/AT_19"
0.953529243847532,0.953412921554284,0.981461690558165,8197.30437928015,0,3,-1121.47862849091,2250.95725698182,2269.70569141329,769.6503729766,799,802,0.737,0.0135,0.979624319167297,"Sample/YouToo/AT_21"
0.623304664740822,0.599001739885391,2.22890365499894,25.6473107022563,2.67823545189823e-07,3,-73.9248979084495,155.849795816899,161.955237915364,154.008356601297,31,34,0.138,0.0074,2.12829921465403,"Sample/YouToo/AT_24"
0.301255366164633,0.291201486541102,7.99288319099485,29.9640912210212,1.51403094744316e-11,3,-495.127519214301,998.255038428602,1010.07834665901,8880.17925697943,139,142,0.256,-0.0347,7.90800060955361,"Sample/YouToo/AT_317"
0.4623109319298,0.452445077469796,6.83679802495488,46.8596951033502,2.06039634036094e-15,3,-372.700443997822,753.400887995645,764.274883480825,5094.85698850893,109,112,0.387,0.0196,6.74461226018652,"Sample/YouToo/AT_318"
0.792159196928049,0.790198434634918,4.52241208091671,404.005727620792,4.78041995006903e-73,3,-628.006003153643,1264.01200630729,1277.4945584198,4335.86873827974,212,215,0.242,-0.026,4.49074952996,"Sample/YouToo/AT_319"
0.20259450497314,0.199366142645096,8.39153106311453,62.7545747307396,5.18523396350548e-25,3,-1760.93773181486,3529.87546362972,3546.70982373411,34786.3900301088,494,497,0.036,0.012,8.36616617568,"Sample/YouToo/AT_320"
0.916996870126289,0.910612013982157,1.35467822088533,143.620599967489,8.87622080539985e-15,3,-48.3691823017309,104.738364603462,110.207547923408,47.7139801356669,26,29,0.631,0.0165,1.28269624613569,"Sample/YouToo/AT_321"
0.91626600810406,0.91254449735313,1.64057668029303,246.208077693965,5.82492598465738e-25,3,-90.3224201754311,188.644840350862,196.129644394494,121.117132976458,45,48,0.658,-0.0126,1.58848154023778,"Sample/YouToo/AT_323"
0.0613288896565573,0.0533740497383927,7.97199309697351,7.70963215947484,0.000570935833866425,3,-833.765169890104,1675.53033978021,1689.43619398793,14998.4310494136,236,239,0.089,-0.0108,7.92180166561532,"Sample/YouToo/AT_324"
0.027062878004162,0.0126489947153348,8.63698098553563,1.87755634355243,0.156935879943291,3,-491.83230065072,991.66460130144,1003.37361604207,10070.654473508,135,138,0.006,-0.0076,8.54258491642934,"Sample/YouToo/AT_325"
0.470345063023967,0.46598576313116,6.08615534958402,107.894633218529,2.91845167749686e-34,3,-791.829735691437,1591.65947138287,1605.6807975266,9001.03272624266,243,246,0.084,0.0282,6.04893080864839,"Sample/YouToo/AT_326"
0.65465092903373,0.652083277948479,6.70557792723071,254.961015846012,7.86575253197536e-63,3,-902.04254780691,1812.08509561382,1826.508303879,12095.524565966,269,272,0.089,0.0449,6.66849610602357,"Sample/YouToo/AT_327"
0.27903151342161,0.275716715782169,4.53504199197254,84.1775407649547,1.24965858238087e-31,3,-1282.17335923776,2572.34671847553,2588.67559411704,8946.47355299511,435,438,0.281,-0.0138,4.51948434065971,"Sample/YouToo/AT_328"
0.458676172143738,0.457951023010642,8.97994814144548,632.526677906036,1.06110443150276e-199,3,-5404.94172432423,10817.8834486485,10839.1256492826,120394.726654214,1493,1496,0.025,-0.0223,8.97093966419902,"Sample/YouToo/AT_329"
