"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","Sample_id","threshold"
"1",0.877435327916473,0.877432884588281,2.85883924569233,359114.80531909,0,3,-247746.339265551,495500.678531102,495538.743371362,819960.568828535,100326,100329,0.859,0.0137,2.8587965034052,"WildType_AT_wildtype_101",1,0.6
"2",0.961464529343792,0.961463463974555,1.20612227182875,902470.708121253,0,3,-116209.819287597,232427.638575195,232464.39538168,105238.14527093,72342,72345,0.813,0.0113,1.20609726385081,"WildType_AT_wildtype_102",2,0.6
"3",0.808028524937659,0.80802489251966,2.10251960627294,222449.212909497,0,3,-228534.148589269,457076.297178538,457114.57069491,467251.804447661,105699,105702,0.777,0.0041,2.10248976954528,"WildType_AT_wildtype_103",3,0.6
"4",0.934411873972642,0.934410922206244,1.95549690450257,981765.983561469,0,3,-287999.437579647,576006.875159293,576046.210177511,527034.58541238,137824,137827,0.578,0.0187,1.95547562230591,"WildType_AT_wildtype_104",4,0.6
"5",0.925507997072091,0.925505988768334,1.3941021464317,460840.644338967,0,3,-129913.967113803,259835.934227607,259872.791604453,144178.146632948,74184,74187,0.747,-0.0113,1.39407395855026,"WildType_AT_wildtype_105",5,0.6
"6",0.955880365016232,0.955879778915191,1.75657471507872,1630913.95301927,0,3,-298446.300358726,596900.600717451,596940.289078999,464539.52121358,150553,150556,0.723,0.0194,1.7565572141143,"WildType_AT_wildtype_106",6,0.6
"7",0.954337488116921,0.954336667874025,1.44933810000262,1163481.56515699,0,3,-199305.746337002,398619.492674005,398657.974121303,233876.579955863,111339,111342,0.547,0.0189,1.44931857438071,"WildType_AT_wildtype_107",7,0.6
"8",0.909310428412173,0.909309847407684,2.70833134807091,1565066.09962126,0,3,-754009.951968566,1508027.90393713,1508070.50934209,2289873.29225616,312182,312185,0.654,0.0175,2.70831833493197,"WildType_AT_wildtype_108",8,0.6
"9",0.8823949939547,0.882393928585813,3.32623900618321,828253.016288653,0,3,-578617.099467125,1157242.19893425,1157283.41864041,2442658.19146665,220778,220781,0.572,0.0167,3.32621640742943,"WildType_AT_wildtype_109",9,0.6
"10",0.909705048107292,0.909703942452563,2.82243005270164,822774.980815442,0,3,-401239.389508372,802486.779016744,802526.793275575,1301128.87368712,163333,163336,0.132,-0.0183,2.82240413272981,"WildType_AT_wildtype_110",10,0.6
"11",0.949526828446277,0.949525802610507,1.93083420858414,925612.906323656,0,3,-204379.080647897,408766.161295793,408804.148764668,366861.993401178,98404,98407,0.582,0.0249,1.93080477700522,"WildType_AT_wildtype_111",11,0.6
"12",0.895611256209471,0.89561010819102,2.36789402221478,780136.638916886,0,3,-414814.718444169,829637.436888339,829677.880902086,1019669.246264,181859,181862,0.75,0.0173,2.36787449171538,"WildType_AT_wildtype_112",12,0.6
"13",0.921364308255124,0.921363676977796,2.37457418146424,1459523.83549277,0,3,-568962.21612819,1137932.43225638,1137974.13525717,1404756.32881158,249132,249135,0.862,0.0128,2.37455988450879,"WildType_AT_wildtype_113",13,0.6
"14",0.883117491511894,0.883115819420845,2.46833080543415,528151.557407295,0,3,-324697.554752289,649403.109504577,649442.501577294,851777.814342579,139804,139807,0.53,0.0179,2.46830432238201,"WildType_AT_wildtype_114",14,0.6
"15",0.947345296240094,0.94734419165003,1.65018958781808,857644.231223567,0,3,-183036.88960995,366081.7792199,366119.64008077,259617.355674006,95338,95341,0.717,0.0109,1.65016362518025,"WildType_AT_wildtype_115",15,0.6
"16",0.901207372958972,0.901205031485321,2.01027197474785,384888.966134894,0,3,-178665.495676541,357338.991353083,357376.364075044,341016.106110152,84385,84388,0.543,0.0118,2.01023624176731,"WildType_AT_wildtype_116",16,0.6
"17",0.90309314994933,0.903091887311136,1.60886477133525,715243.016110776,0,3,-290803.027532096,581614.055064192,581653.820939693,397323.849904243,153499,153502,0.77,0.0059,1.60884904965769,"WildType_AT_wildtype_117",17,0.6
"18",0.875212620116631,0.875211526272495,2.8849725530162,800125.530443506,0,3,-565497.416971623,1131002.83394325,1131044.1852581,1899015.85187871,228163,228166,0.764,0.0166,2.88495358668005,"WildType_AT_wildtype_118",18,0.6
"19",0.873503355811114,0.873502325469022,3.64416643860716,847779.938634819,0,3,-665935.503762094,1331879.00752419,1331920.65248251,3260798.52523086,245543,245546,0.718,0.0212,3.64414417692766,"WildType_AT_wildtype_119",19,0.6
"20",0.706228728077635,0.706225241736907,5.65331490722702,202570.197007202,0,3,-531066.969127004,1062141.93825401,1062182.07773023,5386117.76986127,168527,168530,0.589,-0.0238,5.6532645897162,"WildType_AT_wildtype_120",20,0.6
"21",0.924514599954776,0.9245122420676,1.7023964815496,392094.502847172,0,3,-124921.411347908,249850.822695815,249887.091186295,185562.990250969,64028,64031,0.879,0.0163,1.7023566004821,"WildType_AT_wildtype_121",21,0.6
"22",0.776198937304214,0.7761953075288,2.58281994160879,213842.138642655,0,3,-291991.000340416,583990.000680833,584028.890735052,822622.6197241,123314,123317,0.506,-0.0128,2.58278852458214,"WildType_AT_wildtype_122",22,0.6
"23",0.858391671923926,0.858390564505771,3.08482538846312,775128.76932722,0,3,-650988.049456081,1301984.09891216,1302025.90670362,2433707.18773279,255745,255748,0.287,0.0283,3.08480729545105,"WildType_AT_wildtype_123",23,0.6
"24",0.927793840047379,0.927792607481745,1.64414904392126,752733.821786382,0,3,-224509.392699515,449026.785399031,449065.470821217,316720.780276276,117164,117167,0.706,0.022,1.64412799499662,"WildType_AT_wildtype_124",24,0.6
"25",0.908387913736684,0.908386934242551,3.19473735325984,927405.160576644,0,3,-482703.985986127,965415.971972254,965456.528775204,1909199.22423604,187060,187063,0.557,0.0312,3.19471173555221,"WildType_AT_wildtype_125",25,0.6
"26",0.803124782564586,0.803123658821935,2.89816468263253,714687.461627028,0,3,-870034.962021127,1740077.92404225,1740120.99130773,2943068.03322331,350392,350395,0.665,0.0077,2.89815227590204,"WildType_AT_wildtype_126",26,0.6
"27",0.689250035493512,0.689243975213179,3.64633484170035,113732.368404648,0,3,-278198.165938932,556404.331877864,556442.484534943,1363519.84738651,102553,102556,0.704,0.0144,3.64628150945004,"WildType_AT_wildtype_127",27,0.6
"28",0.907542258668857,0.907541267584744,2.41721472476575,915706.595479746,0,3,-429427.136175444,858862.272350888,858902.818855287,1090167.48151397,186579,186582,0.572,0.0135,2.41719529182655,"WildType_AT_wildtype_128",28,0.6
"29",0.943992370580816,0.943991633201717,1.76732909364354,1280199.52372606,0,3,-302063.517422403,604135.034844806,604174.759097876,474483.612345043,151910,151913,0.452,0.0205,1.7673116428215,"WildType_AT_wildtype_129",29,0.6
"30",0.842922464912523,0.84292067180021,2.1435151111899,470089.050903729,0,3,-382185.980899166,764379.961798331,764420.256623484,804988.506645816,175201,175204,0.619,0.0072,2.14349675951739,"WildType_AT_wildtype_130",30,0.6
"31",0.84732476602695,0.847323123501182,1.92422443401282,515866.954579266,0,3,-385467.438875465,770942.877750929,770983.409736724,688331.823027838,185903,185906,0.639,0.0128,1.92420890816484,"WildType_AT_wildtype_131",31,0.6
"32",0.903668504087138,0.903667653105951,2.52392656444137,1061913.60912167,0,3,-530860.271216477,1061728.54243295,1061769.86273813,1442220.85073495,226401,226404,0.854,0.0087,2.52390984255312,"WildType_AT_wildtype_132",32,0.6
"33",0.891039881127558,0.891039375835732,3.06867856121415,1763416.37541276,0,3,-1095527.19073655,2191062.38147309,2191106.27951506,4061234.70981479,431276,431279,0.485,0.0167,3.06866788824875,"WildType_AT_wildtype_133",33,0.6
"34",0.879492442825852,0.879491166499354,1.80703861949371,689081.080620595,0,3,-379681.4545307,759370.909061401,759411.503640535,616619.651058154,188835,188838,0.846,0.0117,1.80702426555703,"WildType_AT_wildtype_134",34,0.6
"35",0.924029161267647,0.924025119728148,1.16599214315236,228632.965605678,0,3,-59121.7641123814,118251.528224763,118285.667049309,51111.8190003886,37595,37598,0.734,0.0181,1.16594562410601,"WildType_AT_wildtype_135",35,0.6
"36",0.8395611958726,0.83955763282244,2.39460145038548,235629.912064976,0,3,-206430.010003054,412868.020006108,412905.652931684,516397.294174995,90057,90060,0.58,0.0189,2.39456156661812,"WildType_AT_wildtype_136",36,0.6
"37",0.844447982342472,0.84444635282595,2.30735393165821,518219.957287253,0,3,-430532.975989283,861073.951978566,861114.590438601,1016424.93535666,190918,190921,0.789,0.0135,2.30733580350838,"WildType_AT_wildtype_137",37,0.6
"38",0.867035591094032,0.867034523389818,2.36537234045845,812055.979146061,0,3,-567844.432460674,1135696.86492135,1135738.56686233,1393520.86003886,249066,249069,0.234,0.0235,2.36535809513208,"WildType_AT_wildtype_138",38,0.6
"39",0.919526844851708,0.919525701596604,2.21797941243123,804305.917003218,0,3,-311905.968070247,623819.936140494,623859.356011988,692552.812408649,140779,140782,0.261,-0.0135,2.21795578024215,"WildType_AT_wildtype_139",39,0.6
"40",0.877728876286214,0.877727091710115,2.15665985076532,491841.662991175,0,3,-299760.264350188,599528.528700377,599567.840637774,637356.081163795,137031,137034,0.921,0.0182,2.15663624343078,"WildType_AT_wildtype_140",40,0.6
"41",0.933557022066736,0.933556011657771,2.19434971808692,923939.765271141,0,3,-289976.989267775,579961.978535551,580001.126192392,633276.80301441,131517,131520,0.735,0.0166,2.19432469114541,"WildType_AT_wildtype_141",41,0.6
"42",0.868133527694328,0.86813167892182,2.14305682024277,469572.932227643,0,3,-311155.739105229,622319.478210457,622358.950976124,655161.368165263,142653,142656,0.742,0.0168,2.14303428630006,"WildType_AT_wildtype_142",42,0.6
"43",0.936186640274015,0.93618479928275,1.3468774452234,508523.129918895,0,3,-119015.7801353,238039.560270601,238076.146687177,125761.016446201,69325,69328,0.856,0.0097,1.34684830349099,"WildType_AT_wildtype_143",43,0.6
"44",0.880888551310662,0.880886047522787,2.80378889779289,351822.356862809,0,3,-233102.556965602,466213.113931203,466250.966686616,747956.936088326,95145,95148,0.866,0.0137,2.80374469595472,"WildType_AT_wildtype_101",1,0.62
"45",0.961107128669472,0.961105997125276,1.17725375505048,849376.570639894,0,3,-108763.123120722,217534.246241443,217570.798936771,95272.7387750793,68743,68746,0.812,0.0113,1.17722806773924,"WildType_AT_wildtype_102",2,0.62
"46",0.808047716049274,0.808043930530826,2.08855089526632,213457.608809846,0,3,-218593.615256435,437195.230512871,437233.338496906,442372.41561853,101414,101417,0.78,0.0041,2.08852000449346,"WildType_AT_wildtype_103",3,0.62
"47",0.935331379063971,0.935330401620751,1.9280840878526,956916.329350316,0,3,-274634.451425788,549276.902851576,549316.074916763,491908.126634055,132322,132325,0.578,0.0186,1.92806223149496,"WildType_AT_wildtype_104",4,0.62
"48",0.924785585409287,0.92478346925661,1.37253417322614,437012.695519414,0,3,-123380.378263686,246768.756527372,246805.443278941,133915.365128697,71086,71089,0.745,-0.0113,1.37250521202285,"WildType_AT_wildtype_105",5,0.62
"49",0.95744153095827,0.957440946054591,1.7226468348363,1636921.71084706,0,3,-285637.005353286,571282.010706571,571321.563146746,431841.265885359,145523,145526,0.729,0.0195,1.72262907867197,"WildType_AT_wildtype_106",6,0.62
"50",0.955163314953841,0.955162475331267,1.41614993584981,1137610.33246189,0,3,-188710.162144436,377428.324288871,377466.639328955,214189.343399515,106802,106805,0.545,0.0189,1.41613004689498,"WildType_AT_wildtype_107",7,0.62
"51",0.910628427778345,0.91062783545075,2.68314805599748,1537372.95903541,0,3,-726028.562879772,1452065.12575954,1452107.59540144,2172484.58319798,301764,301767,0.659,0.0176,2.68313471878006,"WildType_AT_wildtype_108",8,0.62
"52",0.884274654985586,0.884273563123741,3.29100234178455,809877.787753351,0,3,-553296.619030253,1106601.23806051,1106642.29506821,2295869.36436876,211978,211981,0.574,0.0168,3.29097905422115,"WildType_AT_wildtype_109",9,0.62
"53",0.910529224926315,0.91052808973368,2.80701999924974,802092.2593783,0,3,-386369.200253206,772746.400506413,772786.272631089,1242031.59732679,157631,157634,0.136,-0.0183,2.80699328832422,"WildType_AT_wildtype_110",10,0.62
"54",0.9503232995256,0.950322248177985,1.90926092464049,903909.692781916,0,3,-195211.13646344,390430.27292688,390468.098516642,344482.348082209,94501,94504,0.583,0.0249,1.90923061995375,"WildType_AT_wildtype_111",11,0.62
"55",0.896659285463994,0.896658105721602,2.33988831347881,760046.677847747,0,3,-397523.26625164,795054.532503279,795094.827122952,959189.745767429,175192,175195,0.749,0.0173,2.33986827953095,"WildType_AT_wildtype_112",12,0.62
"56",0.924295821509711,0.924295191379334,2.32535885283737,1466832.66840193,0,3,-543716.236209528,1087440.47241906,1087482.0307264,1299269.96022884,240281,240284,0.867,0.0128,2.32534433647687,"WildType_AT_wildtype_113",13,0.62
"57",0.884534317480902,0.884532592335865,2.4296139871363,512730.407093228,0,3,-308781.003346044,617570.006692088,617609.225040522,790190.615619981,133862,133865,0.53,0.0178,2.4295867623845,"WildType_AT_wildtype_114",14,0.62
"58",0.947904147854471,0.947902995648249,1.62425572420935,822686.190473816,0,3,-172178.059438921,344364.118877841,344401.768247473,238567.751635879,90428,90431,0.72,0.0109,1.62422878207896,"WildType_AT_wildtype_115",15,0.62
"59",0.903083283920498,0.903080877606165,1.98504109897135,375297.304887477,0,3,-169532.792998449,339073.585996898,339110.772778738,317406.147435294,80552,80555,0.548,0.0118,1.98500413553803,"WildType_AT_wildtype_116",16,0.62
"60",0.904716835725404,0.904715549965528,1.59177324029947,703643.699252755,0,3,-279205.899689913,558419.799379826,558459.425083619,375533.51023929,148213,148216,0.773,0.0059,1.59175713089196,"WildType_AT_wildtype_117",17,0.62
"61",0.876410692751267,0.87640956980421,2.86612580766679,780455.932394652,0,3,-544110.602876258,1088229.20575252,1088270.41344687,1808181.87453105,220116,220119,0.766,0.0166,2.86610627639797,"WildType_AT_wildtype_118",18,0.62
"62",0.87396718347618,0.873966119346859,3.63054723756626,821297.905957668,0,3,-641540.380767648,1283088.7615353,1283130.26273737,3122219.34971988,236875,236878,0.72,0.0211,3.63052424751189,"WildType_AT_wildtype_119",19,0.62
"63",0.710455000186394,0.710451427277057,5.60514673276938,198844.956041958,0,3,-509358.102974711,1018724.20594942,1018764.18935538,5092113.10138367,162078,162081,0.596,-0.0239,5.60509485895934,"WildType_AT_wildtype_120",20,0.62
"64",0.925740703112237,0.92573827625852,1.67130982973616,381457.150305976,0,3,-118272.258810562,236552.517621123,236588.605296356,170942.938121635,61198,61201,0.88,0.0164,1.67126886642726,"WildType_AT_wildtype_121",21,0.62
"65",0.777335464939521,0.777331727420993,2.57431054505246,207981.702065512,0,3,-281740.549659552,563489.099319104,563527.852007317,789622.587393966,119151,119154,0.508,-0.0128,2.57427813749482,"WildType_AT_wildtype_122",22,0.62
"66",0.860547800777466,0.860546659849527,3.05672703657951,754252.544112124,0,3,-620010.701978526,1240029.40395705,1240071.03113587,2284075.54838208,244454,244457,0.291,0.0283,3.05670828029672,"WildType_AT_wildtype_123",23,0.62
"67",0.928492314985544,0.928491043251725,1.62068111813612,730099.570732991,0,3,-213873.245283899,427754.490567799,427793.011979326,295380.375638505,112457,112460,0.705,0.022,1.62065950122442,"WildType_AT_wildtype_124",24,0.62
"68",0.908750231733861,0.908749219961028,3.177498243521,898176.153834979,0,3,-464480.324192446,928968.648384891,929009.059646779,1821165.39791715,180376,180379,0.561,0.0312,3.17747181989528,"WildType_AT_wildtype_125",25,0.62
"69",0.807603173573874,0.807602039432797,2.86109993053773,712083.522962112,0,3,-838081.536117699,1676171.0722354,1676214.01061836,2777326.08521843,339282,339285,0.671,0.0077,2.86108728140976,"WildType_AT_wildtype_126",26,0.62
"70",0.688939995692955,0.688933696317621,3.62002236287954,109366.398914275,0,3,-267191.065242719,534390.130485439,534428.132358216,1294193.42944728,98759,98762,0.708,0.0143,3.61996738146178,"WildType_AT_wildtype_127",27,0.62
"71",0.907679100747726,0.907678071219337,2.39594059856962,881645.528375266,0,3,-411194.538721477,822397.077442953,822437.465798582,1029541.33583322,179346,179349,0.577,0.0134,2.39592055984107,"WildType_AT_wildtype_128",28,0.62
"72",0.944995357042493,0.944994604136962,1.73377077038609,1255131.3778204,0,3,-287735.563549474,575479.127098947,575518.69572337,439209.991902318,146113,146116,0.454,0.0204,1.73375297172267,"WildType_AT_wildtype_129",29,0.62
"73",0.843037911104721,0.84303605333436,2.13201868870123,453790.160997434,0,3,-367704.650938034,735417.301876067,735457.452065985,768094.667858685,168979,168982,0.62,0.0072,2.13199976335873,"WildType_AT_wildtype_130",30,0.62
"74",0.845222095574536,0.845220369356314,1.9075027947956,489638.033521738,0,3,-370265.090678155,740538.18135631,740578.569265857,652489.650088756,179326,179329,0.638,0.0127,1.90748683939431,"WildType_AT_wildtype_131",31,0.62
"75",0.904489605379775,0.904488731230769,2.51169445659859,1034708.72637849,0,3,-511324.304178346,1022656.60835669,1022697.78697951,1378569.86536176,218522,218525,0.855,0.0087,2.51167721575834,"WildType_AT_wildtype_132",32,0.62
"76",0.894104400694688,0.894103892088613,3.02120244544501,1757950.69133057,0,3,-1051284.65362845,2102577.3072569,2102621.06503627,3800896.29465677,416415,416418,0.493,0.0167,3.02119156260174,"WildType_AT_wildtype_133",33,0.62
"77",0.880832592163093,0.880831291641893,1.78897948976535,677291.990328951,0,3,-366633.502894521,733275.005789042,733315.480521103,586517.230336064,183261,183264,0.847,0.0117,1.78896484706293,"WildType_AT_wildtype_134",34,0.62
"78",0.923687450338559,0.923683266651179,1.14426299980613,220783.095475758,0,3,-56683.6650052818,113375.330010564,113409.348526913,47765.9527460324,36481,36484,0.738,0.018,1.14421595370962,"WildType_AT_wildtype_135",35,0.62
"79",0.836389019395631,0.836385213249895,2.38276981698286,219746.976975093,0,3,-196640.703346404,393289.406692808,393326.853940149,488113.939486288,85972,85975,0.577,0.0188,2.38272824459664,"WildType_AT_wildtype_136",36,0.62
"80",0.848421525853379,0.848419876235107,2.27017989582603,514313.850861702,0,3,-411438.008511515,822884.01702303,822924.50293641,947119.143744307,183774,183777,0.794,0.0136,2.27016136639231,"WildType_AT_wildtype_137",37,0.62
"81",0.868959872655504,0.868958780695392,2.33104787186774,795779.866452241,0,3,-543687.226291596,1087382.45258319,1087424.00636,1304157.10748302,240009,240012,0.239,0.0235,2.33103330350143,"WildType_AT_wildtype_138",38,0.62
"82",0.920203354645317,0.920202173513938,2.19588947897274,779086.367125224,0,3,-298013.547300661,596035.094601322,596074.350334734,651534.441263386,135119,135122,0.266,-0.0135,2.1958651020948,"WildType_AT_wildtype_139",39,0.62
"83",0.877383597861733,0.877381739826318,2.13173765021482,472210.373752438,0,3,-287188.018641978,574384.037283956,574423.199149109,599780.149452188,131985,131988,0.923,0.0181,2.13171342358327,"WildType_AT_wildtype_140",40,0.62
"84",0.934101807767182,0.934100760625572,2.16158701731149,892049.1734859,0,3,-275617.502434049,551243.004868099,551281.976760611,588089.635804232,125863,125866,0.736,0.0166,2.16156125658305,"WildType_AT_wildtype_141",41,0.62
"85",0.867524287144892,0.867522367874597,2.13119029746512,452007.35369042,0,3,-300344.903670032,600697.807340064,600737.148853909,627010.162253341,138048,138051,0.743,0.0168,2.13116714078525,"WildType_AT_wildtype_142",42,0.62
"86",0.937461835797013,0.937459949077021,1.324767288636,496873.855129274,0,3,-112713.324704461,225434.649408923,225471.056948293,116344.769808767,66293,66296,0.859,0.0097,1.32473731437792,"WildType_AT_wildtype_143",43,0.62
