"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","Sample_id","threshold"
"1",0.859923828444381,0.85992195618129,3.14705882950073,459296.469887196,0,3,-383875.718635579,767759.437271159,767799.101114988,1481962.13105636,149633,149636,0.821,0.0137,3.14702728219992,"WildType_AT_wildtype_101",1,0.42
"2",0.961616033918884,0.961615325341964,1.42607720389667,1357108.88383238,0,3,-192186.237223552,384380.474447104,384418.846713621,220332.679080456,108341,108344,0.813,0.0115,1.42605746001963,"WildType_AT_wildtype_102",2,0.42
"3",0.803904732806552,0.803902118255281,2.22471002747686,307473.30968529,0,3,-332796.578715749,665601.157431499,665640.831153788,742415.053957534,150003,150006,0.741,0.0041,2.22468778115521,"WildType_AT_wildtype_103",3,0.42
"4",0.923298088619815,0.923297286411849,2.23369822989159,1150946.04825007,0,3,-425025.751855621,850059.503711242,850100.148639927,954109.481970744,191227,191230,0.567,0.0188,2.23368070878881,"WildType_AT_wildtype_104",4,0.42
"5",0.927784898338773,0.927783537997033,1.60439269165054,682023.399264374,0,3,-200848.030938709,401704.061877419,401742.35325324,273294.787412649,106172,106175,0.748,0.0118,1.60437002524096,"WildType_AT_wildtype_105",5,0.42
"6",0.940052303549557,0.940051705847767,2.07028089076227,1572778.12946579,0,3,-430604.599275979,861217.198551958,861258.034764755,859758.514733277,200594,200597,0.67,0.0193,2.07026540980818,"WildType_AT_wildtype_106",6,0.42
"7",0.947190240702685,0.947189561866016,1.74903352673364,1395313.89956727,0,3,-307759.771321667,615527.542643334,615567.362613237,475965.153699469,155589,155592,0.559,0.0192,1.74901666492239,"WildType_AT_wildtype_107",7,0.42
"8",0.898974913255313,0.898974419897692,2.90124921926493,1822156.73756328,0,3,-1017338.53605097,2034685.07210195,2034728.76330044,3447207.76684918,409541,409544,0.624,0.0174,2.90123859310071,"WildType_AT_wildtype_108",8,0.42
"9",0.867913754723999,0.867912888400059,3.56841133646718,1001835.12766128,0,3,-820604.657312392,1641217.31462478,1641259.82607981,3882907.95583408,304935,304938,0.553,0.0163,3.56839378329188,"WildType_AT_wildtype_109",9,0.42
"10",0.900998967801712,0.900998058605312,2.97073736839892,990983.87084466,0,3,-546136.017841323,1092280.03568265,1092321.20064528,1921943.11406221,217777,217780,0.104,-0.0182,2.97071690682578,"WildType_AT_wildtype_110",10,0.42
"11",0.940472596419437,0.940471742771901,2.15392488715189,1101710.66805155,0,3,-304909.845326333,609827.690652666,609867.073043199,647037.503176911,139466,139469,0.551,0.0247,2.15390172139674,"WildType_AT_wildtype_111",11,0.42
"12",0.884922529678806,0.884921594005938,2.61196500831208,945760.596743168,0,3,-585197.469817587,1170402.93963517,1170444.59167348,1678150.76439659,245978,245981,0.745,0.0173,2.61194908041741,"WildType_AT_wildtype_112",12,0.42
"13",0.896023130522301,0.896022500451103,2.7854180564849,1422098.22082619,0,3,-806424.156926057,1612856.31385211,1612899.14186198,2560695.14787936,330048,330051,0.828,0.0126,2.78540539742136,"WildType_AT_wildtype_113",13,0.42
"14",0.877162559308645,0.87716129647141,2.72979682298308,694596.686696646,0,3,-471413.274171903,942834.548343805,942875.262018916,1449686.26534165,194542,194545,0.519,0.019,2.72977577535389,"WildType_AT_wildtype_114",14,0.42
"15",0.940804297709058,0.940803479274949,1.85655592763331,1149517.45838335,0,3,-294764.597001417,589537.194002835,589576.722540945,498600.28813253,144656,144659,0.678,0.0109,1.85653667650943,"WildType_AT_wildtype_115",15,0.42
"16",0.886949920223687,0.886948072320785,2.23374450966285,479976.474601778,0,3,-271953.57643709,543915.15287418,543954.011699992,610504.286362498,122355,122358,0.508,0.0118,2.23371712577865,"WildType_AT_wildtype_116",16,0.42
"17",0.882907433336885,0.882906285471827,1.79319726439512,769173.543068582,0,3,-408640.064858168,817288.129716336,817329.033629171,656031.391538688,204018,204021,0.74,0.0058,1.79318408042982,"WildType_AT_wildtype_117",17,0.42
"18",0.863737880304552,0.863736988568851,3.05019606934298,968603.005471128,0,3,-774468.508728833,1548945.01745767,1548987.53777025,2843311.85703133,305611,305614,0.743,0.0165,3.05018109847996,"WildType_AT_wildtype_118",18,0.42
"19",0.867958658301863,0.86795784999271,3.77190909196284,1073795.40985762,0,3,-897322.22240858,1794652.44481716,1794695.23216671,4648200.59427902,326710,326713,0.705,0.0212,3.77189177438862,"WildType_AT_wildtype_119",19,0.42
