"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold"
"344",0.946099790883278,0.946097450905891,1.17246804318913,404320.057198811,0,3,-72702.3964642861,145412.792928572,145447.744771249,63330.1933763374,46069,693,0.495,0.0099,1.17242986966301,43,0.75
"345",0.90868168240274,0.908678409872589,2.33210158202076,277669.46078043,0,3,-126452.214991952,252912.429983904,252948.14896062,303528.284898696,55809,693,0.495,0.0135,2.33203890375476,1,0.78
"346",0.953877810220922,0.95387564160188,0.959637801861773,439854.945416777,0,3,-58606.1468300681,117220.293660136,117254.926366461,39171.6027769765,42536,693,0.495,0.0109,0.959603962747487,2,0.78
"347",0.812196158951338,0.812190463783911,1.91458213149146,142611.463045846,0,3,-136422.323238554,272852.646477109,272889.03338899,241755.282735506,65952,693,0.495,0.004,1.91453858807769,3,0.78
"348",0.941903799071773,0.941902463925933,1.72532483025466,705468.849153209,0,3,-170954.253218305,341916.506436611,341954.002423312,259054.277370733,87026,693,0.495,0.0186,1.72529509293091,4,0.78
"349",0.914991135508312,0.914987471412086,1.1944733300286,249718.096651393,0,3,-74089.1631822121,148186.326364424,148221.30692819,66203.3940438785,46401,693,0.495,-0.0107,1.19443471829353,5,0.78
"350",0.971152814732986,0.971152258057823,1.39187781044025,1744559.26878301,0,3,-181333.245501849,362674.491003698,362712.685872615,200786.180018107,103641,693,0.495,0.0194,1.39185766617889,6,0.78
"351",0.960575838048976,0.960574721802194,1.1959782563035,860540.746009472,0,3,-112874.368468781,225756.736937561,225793.398344902,101036.621129898,70637,693,0.495,0.0188,1.19595286011959,7,0.78
"352",0.922138555211728,0.922137825399804,2.45373361387164,1263529.03298158,0,3,-494296.844626464,988601.689252928,988642.772516261,1284684.02442498,213374,693,0.495,0.0176,2.45371636452725,8,0.78
"353",0.900215489743435,0.900214067349219,2.96496492733259,632887.479047094,0,3,-351582.810671676,703173.621343352,703213.027724493,1233423.64303492,140305,693,0.495,0.0172,2.96493322941683,9,0.78
"354",0.917497230692087,0.917495705292366,2.64879991642996,601479.873166544,0,3,-258866.165452544,517740.330905088,517778.696927348,758950.003957703,108172,693,0.495,-0.0184,2.64876318680276,10,0.78
"355",0.954425546097187,0.954424118482612,1.73337960075553,668545.67222698,0,3,-125719.888231105,251447.77646221,251484.033629655,191835.005239616,63847,693,0.495,0.0249,1.73333887875172,11,0.78
"356",0.907329439511405,0.907327882219291,2.11502148971058,582632.783669954,0,3,-258029.941290452,516067.882580903,516106.630700988,532391.692069101,119015,693,0.495,0.0174,2.11499483363985,12,0.78
"357",0.939098459235217,0.939097703881323,2.06908604249789,1243256.26203717,0,3,-346061.215974988,692130.431949976,692170.39494375,690342.967866758,161253,693,0.495,0.0131,2.0690667958125,13,0.78
"358",0.904948627704764,0.904946347037434,2.02176416146259,396791.156677932,0,3,-176957.826380484,353923.652760968,353960.976312439,340712.002674585,83354,693,0.495,0.0168,2.02172777971266,14,0.78
